feature,importance
hour,0.10179575328318541
user,0.09627368098595708
pc,0.0962192428709724
is_business_hours,0.09499802875035135
External Destination,0.08772856568647974
Authority,0.0817668868002648
day_of_week,0.0649289179268381
Confidential File Transfer,0.0630297265015642
Confidential Data Access,0.05830143860274097
Data Sensitivity Level,0.057305866243833235
File Operation,0.053603395938862756
data_access_score,0.050240801030624435
auth_method_count,0.026661377300829514
Through_MFA,0.014999897770169947
Data Modification,0.014509061961991216
Through_pwd,0.014312803840134088
Through_pin,0.013745888035871432
is_weekend,0.009578666469329438
